transcription,audio_path
Observa-se densidade óssea adequada no quadril.,dataset_elevenlabs_llm+tts/84.mp3
Não há sinais de espessamento corticais.,dataset_elevenlabs_llm+tts/85.mp3
A segunda costela está preservada.,dataset_elevenlabs_llm+tts/86.mp3
Visualiza-se densidade normal da escápula.,dataset_elevenlabs_llm+tts/87.mp3
Ausência de desalinhamento umeral.,dataset_elevenlabs_llm+tts/88.mp3
Observa-se regularidade de margem cortical.,dataset_elevenlabs_llm+tts/89.mp3
Não há sinais de lesão tumoral.,dataset_elevenlabs_llm+tts/90.mp3
A epífise proximal do úmero está preservada.,dataset_elevenlabs_llm+tts/91.mp3
A densidade óssea está homogênea.,dataset_elevenlabs_llm+tts/92.mp3
Não há sinais de artrite psoriática.,dataset_elevenlabs_llm+tts/93.mp3
Observa-se preservação do espaço interfalangiano.,dataset_elevenlabs_llm+tts/94.mp3
Ausência de espessamento sinovial.,dataset_elevenlabs_llm+tts/95.mp3
A clavícula está encaixada.,dataset_elevenlabs_llm+tts/96.mp3
Visualiza-se ausência de esclerose óssea.,dataset_elevenlabs_llm+tts/97.mp3
Não há sinais de necrose avascular.,dataset_elevenlabs_llm+tts/98.mp3
O rádio está bem posicionado.,dataset_elevenlabs_llm+tts/99.mp3
Observa-se normalidade na coluna torácica.,dataset_elevenlabs_llm+tts/100.mp3
Ausência de osteoporose severa.,dataset_elevenlabs_llm+tts/101.mp3
A densidade óssea está reduzida na coluna lombar.,dataset_elevenlabs_llm+tts/102.mp3
Não há sinais de colapso vertebral.,dataset_elevenlabs_llm+tts/103.mp3
Observa-se encapsulamento ósseo.,dataset_elevenlabs_llm+tts/104.mp3
A articulação facetária está preservada.,dataset_elevenlabs_llm+tts/105.mp3
Ausência de sinais de coxartrose.,dataset_elevenlabs_llm+tts/106.mp3
O alinhamento do tornozelo está normal.,dataset_elevenlabs_llm+tts/107.mp3
Observa-se esclerose óssea na coluna vertebral.,dataset_elevenlabs_llm+tts/108.mp3
Não há sinais de paresia.,dataset_elevenlabs_llm+tts/109.mp3
A altura do disco intervertebral está conservada.,dataset_elevenlabs_llm+tts/110.mp3
Observa-se ausência de osteofito discal.,dataset_elevenlabs_llm+tts/111.mp3
Ausência de desalinhamento das vértebras cervicais.,dataset_elevenlabs_llm+tts/112.mp3
O eixo da coluna está mantido.,dataset_elevenlabs_llm+tts/113.mp3
Visualiza-se espondiloartrose leve.,dataset_elevenlabs_llm+tts/114.mp3
Não há sinais de inflamação muscular.,dataset_elevenlabs_llm+tts/115.mp3
O alinhamento das curvas cervicais está normal.,dataset_elevenlabs_llm+tts/116.mp3
Observa-se redução do espaço articular no quadril.,dataset_elevenlabs_llm+tts/117.mp3
Ausência de lesão periarticular.,dataset_elevenlabs_llm+tts/118.mp3
Visualiza-se espessamento do tendão patelar.,dataset_elevenlabs_llm+tts/119.mp3
Não há sinais de distensão ligamentar.,dataset_elevenlabs_llm+tts/120.mp3
O menisco medial está preservado.,dataset_elevenlabs_llm+tts/121.mp3
Observa-se hipertrofia de partes moles.,dataset_elevenlabs_llm+tts/122.mp3
Não há sinais de remodelação óssea anormal.,dataset_elevenlabs_llm+tts/123.mp3
A articulação tibiotalar está congruente.,dataset_elevenlabs_llm+tts/124.mp3
Presença de osteossintese prévia no fêmur.,dataset_elevenlabs_llm+tts/125.mp3
A vértebra de transição está presente.,dataset_elevenlabs_llm+tts/126.mp3
Não há sinais de edema intracortical.,dataset_elevenlabs_llm+tts/127.mp3
O calcâneo está bem delineado.,dataset_elevenlabs_llm+tts/128.mp3
Observa-se estabilidade das estruturas ósseas.,dataset_elevenlabs_llm+tts/129.mp3
Não há sinais de condromalácia.,dataset_elevenlabs_llm+tts/130.mp3
A espessura cortical está preservada.,dataset_elevenlabs_llm+tts/131.mp3
Observa-se sinais de espondilodiscite.,dataset_elevenlabs_llm+tts/132.mp3
Ausência de sinais de tendinite do manguito rotador.,dataset_elevenlabs_llm+tts/133.mp3
Não há alterações degenerativas marcantes.,dataset_elevenlabs_llm+tts/134.mp3
A articulação radiocárpica está intacta.,dataset_elevenlabs_llm+tts/135.mp3
Observa-se continuidade óssea da ulna.,dataset_elevenlabs_llm+tts/136.mp3
Ausência de fragmentação óssea.,dataset_elevenlabs_llm+tts/137.mp3
Visualiza-se alinhamento normal da porção distal do rádio.,dataset_elevenlabs_llm+tts/138.mp3
Não há sinais de anquilose.,dataset_elevenlabs_llm+tts/139.mp3
O canal medular está preservado.,dataset_elevenlabs_llm+tts/140.mp3
Observa-se normalidade do arco costal.,dataset_elevenlabs_llm+tts/141.mp3
Ausência de osteoma osteoide.,dataset_elevenlabs_llm+tts/142.mp3
Visualiza-se ausência de irregularidade nas metáfises.,dataset_elevenlabs_llm+tts/143.mp3
Não há sinais de pseudoartrose da ulna.,dataset_elevenlabs_llm+tts/144.mp3
O acetábulo está bem delineado.,dataset_elevenlabs_llm+tts/145.mp3
Observa-se ejeção normal das partes moles.,dataset_elevenlabs_llm+tts/146.mp3
Ausência de osteófitos haloides.,dataset_elevenlabs_llm+tts/147.mp3
A margem acetabular está íntegra.,dataset_elevenlabs_llm+tts/148.mp3
Não há sinais de protrusão acetabular.,dataset_elevenlabs_llm+tts/149.mp3
Visualiza-se aspecto normal da cabeça femoral.,dataset_elevenlabs_llm+tts/150.mp3
A diáfise femoral está bem encaixada.,dataset_elevenlabs_llm+tts/151.mp3
Observa-se alinhamento normal do cúbito.,dataset_elevenlabs_llm+tts/152.mp3
Ausência de esclerose periostal.,dataset_elevenlabs_llm+tts/153.mp3
Não há sinais de inflamação articular.,dataset_elevenlabs_llm+tts/154.mp3
O alinhamento do arco plantar está preservado.,dataset_elevenlabs_llm+tts/155.mp3
Observa-se congruência normal da articulação subtalar.,dataset_elevenlabs_llm+tts/156.mp3
Não há sinais de formação de cisto ósseo anormal.,dataset_elevenlabs_llm+tts/157.mp3
A articulação metatarsofalângica está preservada.,dataset_elevenlabs_llm+tts/158.mp3
Visualiza-se alinhamento normal das falanges.,dataset_elevenlabs_llm+tts/159.mp3
Não há sinais de esclerose óssea na pelve.,dataset_elevenlabs_llm+tts/160.mp3
A articulação sacroilíaca está congruente.,dataset_elevenlabs_llm+tts/161.mp3
Observa-se espessamento da fáscia plantar.,dataset_elevenlabs_llm+tts/162.mp3
Ausência de lesão expansiva em partes moles.,dataset_elevenlabs_llm+tts/163.mp3
Não há sinais de desmineralização óssea.,dataset_elevenlabs_llm+tts/164.mp3
A configuração do cóccix está preservada.,dataset_elevenlabs_llm+tts/165.mp3
Observa-se osteocondrite dissecante.,dataset_elevenlabs_llm+tts/166.mp3
Não há sinais de lesão osteocondral.,dataset_elevenlabs_llm+tts/167.mp3
Visualiza-se alinhamento normal da coluna sacral.,dataset_elevenlabs_llm+tts/168.mp3
O ângulo lumbossacral está mantido.,dataset_elevenlabs_llm+tts/169.mp3
Observa-se aspecto normal das lâminas vertebrais.,dataset_elevenlabs_llm+tts/170.mp3
A linha articular femoropatelar está preservada.,dataset_elevenlabs_llm+tts/171.mp3
Ausência de sinais de impacto subacromial.,dataset_elevenlabs_llm+tts/172.mp3
Não há sinais de inflamação do tendão patelar.,dataset_elevenlabs_llm+tts/173.mp3
Observa-se congruência normal da articulação do quadril.,dataset_elevenlabs_llm+tts/174.mp3
A linha articular femorotibial está preservada.,dataset_elevenlabs_llm+tts/175.mp3
Não há sinais de ruptura ligamentar.,dataset_elevenlabs_llm+tts/176.mp3
Visualiza-se normalidade no alinhamento do fêmur distal.,dataset_elevenlabs_llm+tts/177.mp3
Observa-se preservação da margem acetabular.,dataset_elevenlabs_llm+tts/178.mp3
A espessura cortical dos ossos longos está preservada.,dataset_elevenlabs_llm+tts/179.mp3
Não há sinais de hiperostose.,dataset_elevenlabs_llm+tts/180.mp3
A articulação atlantoaxial está intacta.,dataset_elevenlabs_llm+tts/181.mp3
Observa-se densidade óssea normal na escápula.,dataset_elevenlabs_llm+tts/182.mp3
Ausência de densificação de partes moles.,dataset_elevenlabs_llm+tts/183.mp3
Não há sinais de protuberância óssea.,dataset_elevenlabs_llm+tts/184.mp3
Visualiza-se alinhamento normal do calcâneo.,dataset_elevenlabs_llm+tts/185.mp3
Observa-se densidade normal do osso esponjoso.,dataset_elevenlabs_llm+tts/186.mp3
Ausência de sinais de lesão por avulsão.,dataset_elevenlabs_llm+tts/187.mp3
A largura do canal espinhal está normal.,dataset_elevenlabs_llm+tts/188.mp3
Não há evidência de alargamento do espaço articular.,dataset_elevenlabs_llm+tts/189.mp3
Observa-se preservação da configuração dos arcos costais.,dataset_elevenlabs_llm+tts/190.mp3
O alinhamento das vértebras torácicas está mantido.,dataset_elevenlabs_llm+tts/191.mp3
Não há sinais de osteofitose vertebral.,dataset_elevenlabs_llm+tts/192.mp3
A lamina cortical está preservada.,dataset_elevenlabs_llm+tts/193.mp3
Visualiza-se densidade óssea normal no úmero.,dataset_elevenlabs_llm+tts/194.mp3
Ausência de irregularidade na linha epifisária.,dataset_elevenlabs_llm+tts/195.mp3
Não há sinais de esclerose subcondral na articulação do joelho.,dataset_elevenlabs_llm+tts/196.mp3
Observa-se densidade normal do osso esponjoso nos ossos longos.,dataset_elevenlabs_llm+tts/197.mp3
Não há sinais de inflamação nas articulações.,dataset_elevenlabs_llm+tts/198.mp3
A articulação patelofemoral está preservada.,dataset_elevenlabs_llm+tts/199.mp3
Observa-se alinhamento normal da coluna cervical.,dataset_elevenlabs_llm+tts/200.mp3
Ausência de sinais de degeneração discal significativa.,dataset_elevenlabs_llm+tts/201.mp3
Não há evidência de lesão intraóssea.,dataset_elevenlabs_llm+tts/202.mp3
A densidade óssea da pelve está preservada.,dataset_elevenlabs_llm+tts/203.mp3
Observa-se congruência normal das articulações sacroilíacas.,dataset_elevenlabs_llm+tts/204.mp3
Não há sinais de desvio da coluna vertebral.,dataset_elevenlabs_llm+tts/205.mp3
A distribuição da densidade óssea está homogênea.,dataset_elevenlabs_llm+tts/206.mp3
Visualiza-se espaçamento normal entre as vértebras cervicais.,dataset_elevenlabs_llm+tts/207.mp3
Observa-se preservação do espaço articular na coluna lombar.,dataset_elevenlabs_llm+tts/208.mp3
Não há sinais de compressão do canal espinhal.,dataset_elevenlabs_llm+tts/209.mp3
A integridade das lâminas vertebrais está mantida.,dataset_elevenlabs_llm+tts/210.mp3
Observa-se densidade óssea normal na mão.,dataset_elevenlabs_llm+tts/211.mp3
Ausência de sinais de osteoporose na coluna torácica.,dataset_elevenlabs_llm+tts/212.mp3
A articulação costovertebral está preservada.,dataset_elevenlabs_llm+tts/213.mp3
Não há evidência de proliferação óssea anormal.,dataset_elevenlabs_llm+tts/214.mp3
Visualiza-se alinhamento normal da articulação tibiotalar.,dataset_elevenlabs_llm+tts/215.mp3
Observa-se ausência de esclerose óssea no pé.,dataset_elevenlabs_llm+tts/216.mp3
Não há sinais de infiltração óssea.,dataset_elevenlabs_llm+tts/217.mp3
A congruência articular da coluna torácica está mantida.,dataset_elevenlabs_llm+tts/218.mp3
Observa-se preservação da altura dos corpos vertebrais.,dataset_elevenlabs_llm+tts/219.mp3
Não há evidência de lesão óssea expansiva.,dataset_elevenlabs_llm+tts/220.mp3
Ausência de sinais de degeneração da articulação acromioclavicular.,dataset_elevenlabs_llm+tts/221.mp3
Observa-se alinhamento normal da articulação sacroilíaca.,dataset_elevenlabs_llm+tts/222.mp3
Não há evidência de fratura patológica.,dataset_elevenlabs_llm+tts/223.mp3
A densidade dos ossos do carpo está preservada.,dataset_elevenlabs_llm+tts/224.mp3
Visualiza-se margem articular do joelho bem preservada.,dataset_elevenlabs_llm+tts/225.mp3
Observa-se normalidade da densidade óssea da mão.,dataset_elevenlabs_llm+tts/226.mp3
Não há sinais de aumento dos espaços interósseos.,dataset_elevenlabs_llm+tts/227.mp3
A curvatura da coluna lombar está preservada.,dataset_elevenlabs_llm+tts/228.mp3
Observa-se alinhamento normal da articulação atlantoaxial.,dataset_elevenlabs_llm+tts/229.mp3
Ausência de sinais de desmineralização óssea severa.,dataset_elevenlabs_llm+tts/230.mp3
Não há evidência de lesão meniscal.,dataset_elevenlabs_llm+tts/231.mp3
A integridade óssea da clavícula está mantida.,dataset_elevenlabs_llm+tts/232.mp3
Observa-se preservação da densidade óssea no fêmur.,dataset_elevenlabs_llm+tts/233.mp3
Não há sinais de erosões ósseas.,dataset_elevenlabs_llm+tts/234.mp3
A linha articular do joelho está preservada.,dataset_elevenlabs_llm+tts/235.mp3
Observa-se congruência normal das articulações do pé.,dataset_elevenlabs_llm+tts/236.mp3
Não há sinais de esclerose ou erosão na articulação do tornozelo.,dataset_elevenlabs_llm+tts/237.mp3
Visualiza-se normalidade na articulação interfalangiana distal.,dataset_elevenlabs_llm+tts/238.mp3
O alinhamento do pescoço femoral está preservado.,dataset_elevenlabs_llm+tts/239.mp3
Observa-se preservação da congruência articular no ombro.,dataset_elevenlabs_llm+tts/240.mp3
Não há evidência de osteoartrite na mão.,dataset_elevenlabs_llm+tts/241.mp3
A densidade óssea dos ossos longos está homogênea.,dataset_elevenlabs_llm+tts/242.mp3
Não há sinais de subluxação da articulação acromioclavicular.,dataset_elevenlabs_llm+tts/243.mp3
Observa-se integridade da diáfise femoral.,dataset_elevenlabs_llm+tts/244.mp3
Ausência de irregularidade na articulação metacarpofalângica.,dataset_elevenlabs_llm+tts/245.mp3
Não há sinais de impacto subacromial.,dataset_elevenlabs_llm+tts/246.mp3
A congruência articular da articulação coxofemoral está mantida.,dataset_elevenlabs_llm+tts/247.mp3
Observa-se preservação da densidade óssea dos ossos do carpo.,dataset_elevenlabs_llm+tts/248.mp3
Não há sinais de lesão ligamentar.,dataset_elevenlabs_llm+tts/249.mp3
Visualiza-se alinhamento normal dos corpos vertebrais.,dataset_elevenlabs_llm+tts/250.mp3
A espessura cortical do fêmur está preservada.,dataset_elevenlabs_llm+tts/251.mp3
Ausência de sinais de degeneração na articulação glenoumeral.,dataset_elevenlabs_llm+tts/252.mp3
Observa-se preservação da densidade óssea na coluna torácica.,dataset_elevenlabs_llm+tts/253.mp3
Não há evidência de lesão subcondral.,dataset_elevenlabs_llm+tts/254.mp3
A distribuição da densidade óssea no úmero está homogênea.,dataset_elevenlabs_llm+tts/255.mp3
Observa-se alinhamento normal da articulação tibiofibular.,dataset_elevenlabs_llm+tts/256.mp3
Ausência de sinais de osteopatia.,dataset_elevenlabs_llm+tts/257.mp3
Não há sinais de lesão erosiva nos metacarpos.,dataset_elevenlabs_llm+tts/258.mp3
Visualiza-se normalidade na densidade mineral óssea do quadril.,dataset_elevenlabs_llm+tts/259.mp3
Observa-se alinhamento normal da articulação coxofemoral.,dataset_elevenlabs_llm+tts/260.mp3
Não há evidência de osteocondrose.,dataset_elevenlabs_llm+tts/261.mp3
A densidade óssea da escápula está preservada.,dataset_elevenlabs_llm+tts/262.mp3
Observa-se congruência normal das articulações dos dedos.,dataset_elevenlabs_llm+tts/263.mp3
Ausência de sinais de desmineralização óssea.,dataset_elevenlabs_llm+tts/264.mp3
Não há evidência de fratura ou fissura óssea.,dataset_elevenlabs_llm+tts/265.mp3
A espessura cortical do raio está preservada.,dataset_elevenlabs_llm+tts/266.mp3
Observa-se preservação da congruência articular no pé.,dataset_elevenlabs_llm+tts/267.mp3
Não há sinais de lesão lítica ou esclerosante.,dataset_elevenlabs_llm+tts/268.mp3
A densidade óssea do calcâneo está normal.,dataset_elevenlabs_llm+tts/269.mp3
Observa-se integridade da cartilagem articular.,dataset_elevenlabs_llm+tts/270.mp3
A congruência articular da coluna lombar está preservada.,dataset_elevenlabs_llm+tts/271.mp3
Não há sinais de osteoartrite na articulação sacroilíaca.,dataset_elevenlabs_llm+tts/272.mp3
Visualiza-se alinhamento normal da articulação atlantoaxial.,dataset_elevenlabs_llm+tts/273.mp3
Observa-se preservação da densidade óssea na coluna cervical.,dataset_elevenlabs_llm+tts/274.mp3
Ausência de sinais de fratura por compressão.,dataset_elevenlabs_llm+tts/275.mp3
Não há sinais de irregularidade na articulação metatarsofalangiana.,dataset_elevenlabs_llm+tts/276.mp3
A densidade óssea do cúbito está preservada.,dataset_elevenlabs_llm+tts/277.mp3
Observa-se alinhamento normal da articulação patelofemoral.,dataset_elevenlabs_llm+tts/278.mp3
Não há evidência de desmineralização óssea na mão.,dataset_elevenlabs_llm+tts/279.mp3
Opacidades subcondrais observadas na superfície articular do joelho direito.,dataset_elevenlabs_llm+tts/280.mp3
Presença de cisto de Baker na fossa poplítea esquerda.,dataset_elevenlabs_llm+tts/281.mp3
Erosões ósseas observadas no cotovelo direito.,dataset_elevenlabs_llm+tts/282.mp3
Espessamento da membrana sinovial no tornozelo esquerdo.,dataset_elevenlabs_llm+tts/283.mp3
Lesão lítica no fêmur proximal direito.,dataset_elevenlabs_llm+tts/284.mp3
Calcificações distróficas na entese do tendão calcâneo.,dataset_elevenlabs_llm+tts/285.mp3
Derrame articular discreto na articulação glenoumeral direita.,dataset_elevenlabs_llm+tts/286.mp3
Área de esclerose periosteal no rádio distal.,dataset_elevenlabs_llm+tts/287.mp3
Pequena fratura incompleta observada na clavícula esquerda.,dataset_elevenlabs_llm+tts/288.mp3
Ausência de sinais de infiltração tumoral nos tecidos moles periarticulares.,dataset_elevenlabs_llm+tts/289.mp3
Edema ósseo localizado na cabeça do úmero direito.,dataset_elevenlabs_llm+tts/290.mp3
Subluxação parcial da articulação acromioclavicular esquerda.,dataset_elevenlabs_llm+tts/291.mp3
Hiperintensidade localizada na medula óssea do calcâneo esquerdo.,dataset_elevenlabs_llm+tts/292.mp3
Redução do espaço articular na articulação femoropatelar.,dataset_elevenlabs_llm+tts/293.mp3
Lesão de Hill-Sachs na cabeça do úmero esquerdo.,dataset_elevenlabs_llm+tts/294.mp3
Rotura parcial do ligamento colateral medial do joelho direito.,dataset_elevenlabs_llm+tts/295.mp3
Importante degeneração do menisco lateral esquerdo.,dataset_elevenlabs_llm+tts/296.mp3
Espessamento irregular do tendão do supraespinhal esquerdo.,dataset_elevenlabs_llm+tts/297.mp3
Protrusão discal em nível L4-L5 com compressão radicular.,dataset_elevenlabs_llm+tts/298.mp3
Ausência de sinais de osteomielite aguda no metatarso esquerdo.,dataset_elevenlabs_llm+tts/299.mp3
Diminuição da densidade óssea compatível com osteoporose difusa.,dataset_elevenlabs_llm+tts/300.mp3
Lesão de osteocondrite dissecante no côndilo femoral medial.,dataset_elevenlabs_llm+tts/301.mp3
Entesopatia insercional no tendão patelar.,dataset_elevenlabs_llm+tts/302.mp3
Estreitamento significativo do espaço intervertebral em nível C5-C6.,dataset_elevenlabs_llm+tts/303.mp3
Alteração compatível com processo inflamatório no tecido subcutâneo.,dataset_elevenlabs_llm+tts/304.mp3
Lesão expansiva com características de malignidade no úmero proximal.,dataset_elevenlabs_llm+tts/305.mp3
Destruição articular com luxação anterior do ombro direito.,dataset_elevenlabs_llm+tts/306.mp3
Pequeno osteófito marginal nos corpos vertebrais torácicos.,dataset_elevenlabs_llm+tts/307.mp3
Calcificações pequenas nos tendões dos músculos adutores.,dataset_elevenlabs_llm+tts/308.mp3
Lesão osteoblástica na diáfise do fêmur esquerdo.,dataset_elevenlabs_llm+tts/309.mp3
Derrame articular volumoso na articulação do quadril direito.,dataset_elevenlabs_llm+tts/310.mp3
Fratura cominutiva do osso escafoide esquerdo.,dataset_elevenlabs_llm+tts/311.mp3
Contusão óssea no trocânter maior do fêmur direito.,dataset_elevenlabs_llm+tts/312.mp3
Desmineralização óssea difusa nos ossos do carpo.,dataset_elevenlabs_llm+tts/313.mp3
Alargamento assimétrico do espaço articular sacroilíaco.,dataset_elevenlabs_llm+tts/314.mp3
Pequenos cistos subcondrais na articulação do quadril esquerdo.,dataset_elevenlabs_llm+tts/315.mp3
Edema e fibrose perimuscular na coxa direita.,dataset_elevenlabs_llm+tts/316.mp3
Fragmento ósseo intra-articular no joelho direito.,dataset_elevenlabs_llm+tts/317.mp3
Deformidade em baqueta de tambor nos dedos das mãos.,dataset_elevenlabs_llm+tts/318.mp3
Lesão expansiva benigna no corpo vertebral lombar.,dataset_elevenlabs_llm+tts/319.mp3
Espessamento periosteal ao longo da tíbia esquerda.,dataset_elevenlabs_llm+tts/320.mp3
Hiperplasia sinovial com múltiplos corpos livres no joelho esquerdo.,dataset_elevenlabs_llm+tts/321.mp3
Sinais de ruptura do ligamento cruzado anterior.,dataset_elevenlabs_llm+tts/322.mp3
Fratura de stress no colo do fêmur direito.,dataset_elevenlabs_llm+tts/323.mp3
Displasia fibrosa na costela direita.,dataset_elevenlabs_llm+tts/324.mp3
Osteofitose marginal na coluna lombar inferior.,dataset_elevenlabs_llm+tts/325.mp3
Pequeno foco de necrose avascular na cabeça femoral direita.,dataset_elevenlabs_llm+tts/326.mp3
Alterações degenerativas avançadas nos discos intervertebrais cervicais.,dataset_elevenlabs_llm+tts/327.mp3
Ausência de sinais de infiltração metastática nos ossos pélvicos.,dataset_elevenlabs_llm+tts/328.mp3
Fratura transversal completa do úmero direito.,dataset_elevenlabs_llm+tts/329.mp3
Erosões subcondrais pequenas na articulação temporomandibular.,dataset_elevenlabs_llm+tts/330.mp3
